age,employ,address,income,debtinc,creddebt,othdebt,ed,default
28,1,3,26,12.4,0.377208,2.846792,2,0
30,2,8,25,10,1.77,0.73,2,0
30,11,1,33,8.4,0.681912,2.090088,0,0
31,8,4,44,8,1.72128,1.79872,0,0
45,15,14,51,18.1,1.550808,7.680192,1,0
43,13,23,76,6.1,2.151104,2.484896,0,1
36,4,10,23,16.3,1.327146,2.421854,0,0
28,8,6,30,7.2,0.61344,1.54656,0,0
27,3,5,33,13.2,1.6335,2.7225,1,0
36,13,3,39,19.2,2.800512,4.687488,2,0
33,12,11,32,11.3,2.104512,1.511488,0,0
54,9,2,28,14.8,1.558144,2.585856,0,1
33,9,4,29,13.8,1.348674,2.653326,0,1
31,9,5,26,4.5,0.31005,0.85995,0,0
21,4,0,26,8.9,1.420796,0.893204,0,0
28,5,9,44,8.7,0.773256,3.054744,2,0
31,2,1,26,6.8,0.28288,1.48512,1,1
32,8,6,26,4.1,0.326196,0.739804,0,0
35,1,8,24,12.5,0.591,2.409,1,1
40,13,11,102,18.9,1.6,3.1,1,1
22,4,2,24,15.6,1.636128,2.107872,0,1
39,4,9,38,6.5,1.17819,1.29181,0,0
41,14,3,44,1.7,0.353056,0.394944,2,0
34,16,9,79,4,1.73484,1.42516,0,0
29,7,9,22,9.7,0.550572,1.583428,0,0
31,4,10,28,11.3,0.291088,2.872912,0,0
32,1,0,20,4.8,0.31488,0.64512,0,1
32,14,7,73,8.8,3.751616,2.672384,0,0
33,6,14,21,7.5,0.567,1.008,0,0
26,6,0,22,10.3,0.720588,1.545412,0,0
21,1,1,18,17.3,0.158814,2.955186,0,0
28,7,2,34,7,0.35938,2.02062,1,0
37,13,5,24,8.9,0.602352,1.533648,0,0
33,2,14,35,22.9,2.123975,5.891025,1,1
39,12,10,46,5,0.5612,1.7388,0,0
40,8,19,57,5.6,0.8778,2.3142,1,0
45,16,21,80,3,0.912,1.488,2,0
27,10,6,34,6.5,0.85085,1.35915,0,0
28,0,7,29,24.2,1.424654,5.593346,2,0
39,13,9,27,8,0.96552,1.19448,0,0
40,14,21,43,15,2.79285,3.65715,0,1
27,11,8,56,16.9,1.6,4.82664,0,0
36,1,4,16,9.3,0.433008,1.054992,0,0
55,19,2,78,15.6,1.6,7.763184,0,0
27,4,3,22,13.2,1.086096,1.817904,1,1
30,1,8,17,11,0.74613,1.12387,0,0
36,10,0,28,11.2,0.81536,2.32064,0,1
31,1,6,21,2.5,0.2772,0.2478,0,1
33,13,2,40,7.2,0.18144,2.69856,1,0
30,4,0,33,4.2,0.500346,0.885654,0,0
24,1,0,18,5.9,0.23895,0.82305,0,1
33,9,10,28,4.3,0.376852,0.827148,2,0
50,8,8.4,47,6.9,0.398889,2.844111,0,0
31,6,6,32,23.1,3.341184,4.050816,1,1
28,3,7,19,4.1,0.260965,0.518035,0,0
44,8,10,88,6.1,0.284504,5.083496,2,1
48,3,23,45,9.8,0.97461,3.43539,2,0
36,0,17,30,9.7,0.32883,2.58117,1,0
29,7,1,63,5.5,0.571725,2.893275,2,0
40,17,11,46.7,6,2.56128,4.39872,2,0
33,7,6,26,6,0.54288,1.01712,0,0
26,6,6,30,1,0.1437,0.1563,1,0
36,14,11,81,7.2,1.784592,4.047408,0,0
26,6,0,35,1.9,0.085785,0.579215,1,0
40,16,6,46.7,12.1,1.61414,3.1,2,0
44,5,3,48,9,1.96992,2.35008,0,1
29,1,10,30,4.5,0.27945,1.07055,2,0
35,5,3,37,5.4,0.581418,1.416582,2,1
34,16,3,75,10.4,3.9546,3.8454,0,0
34,12,8,47,6.7,1.300537,1.848463,2,0
46,14,25,35,10.2,1.34946,2.22054,0,0
41,21,22,46.7,12.2,3.23727,3.1,1,0
27,7,8,30,4,0.4476,0.7524,1,1
27,0,6,70,8,1.6184,3.9816,2,1
28,11,6,24,2.4,0.107136,0.468864,0,0
48,0,8.4,19,10.8,0.849528,1.202472,2,0
48,17,8.4,46.7,12,3.37644,3.1,2,0
29,5,6,70,19.9,3.17604,3.1,2,1
43,9,5,60,20.4,4.0392,3.1,1,1
23,5,2,17,7.9,0.302175,1.040825,0,0
29,10,8,44,18.1,3.70326,4.26074,1,0
40,5,6,75,1.9,0.884925,0.540075,2,0
22,0,3,20,5.6,0.2072,0.9128,1,0
23,7,3,22,14.4,0.849024,2.318976,0,0
46,9,10,60,15.3,1.6065,7.5735,2,0
55,3,11,40,8,0.5632,2.6368,0,1
38,8,16,38,0.6,0.029412,0.198588,1,0
35,5,1,33,2.8,0.103488,0.820512,1,0
30,11,9,27,0.9,0.073872,0.169128,0,0
24,7,0,18,6.5,0.5265,0.6435,0,0
26,4,3,28,9.5,0.2261,2.4339,1,0
32,2,11,15,9.1,0.118755,1.246245,1,1
37,11,4,75,3.5,0.632625,1.992375,1,0
39,6,19,42,19.9,2.540832,5.817168,0,1
30,4,4,21,18.3,0.491904,3.351096,1,0
30,10,11,39,9.5,2.056275,1.648725,0,0
32,7,10,32,4.3,0.43344,0.94256,1,0
54,21,20,46.7,14.4,1.6,7.39152,2,0
27,3,4,35,13.3,1.60132,3.05368,2,0
31,12,4,31,23.7,2.05716,5.28984,0,0
39,15,16,39,1.8,0.139698,0.562302,0,0
31,5,3,25,14.1,1.17735,2.34765,0,0
35,15,11,40,18.5,1.2136,6.1864,0,0
35,10,16,98,13.3,1.6,8.159284,1,0
46,22,17,46.7,11.1,3.324672,3.1,1,0
33,13,3,52,21.3,2.71362,3.1,0,1
35,13,3,46.7,1.9,1.418445,0.576555,1,0
35,1,1,21,7.9,0.369957,1.289043,1,0
38,5,13,21,9,0.44982,1.44018,0,0
41,19,1,96,7.8,2.253888,5.234112,0,0
38,18,19,44,4.5,0.60588,1.37412,0,0
34,2,14,39,13.2,1.142856,4.005144,2,0
51,16,25,82,4.4,2.604976,1.003024,2,0
34,10,2,33,9.5,0.573705,2.561295,1,0
47,15,1,30,24.5,2.21235,5.13765,0,0
34,8,6,78,5.4,2.156544,2.055456,1,0
27,8,7,18,11.9,0.400554,1.741446,1,0
52,9,11,24,19.2,0.801792,3.806208,0,1
39,9,6,35,5,0.23275,1.51725,0,0
33,7,0,22,6.4,0.630784,0.777216,0,0
34,0,1,21,7.2,0.187488,1.324512,0,0
31,9,7,59,14.6,3.109654,5.504346,2,1
28,2,9,16,15.2,0.870656,1.561344,0,0
39,19,16,45,3.7,0.91575,0.74925,0,0
51,22,23,46.7,7.6,4.14048,4.97952,1,0
22,4,1,16,1.2,0.08448,0.10752,0,0
27,6,4,26,10.4,0.930176,1.773824,2,0
32,16,10,38,21,0.69426,7.28574,0,0
28,6,7,38,7.2,0.774288,1.961712,1,0
27,1,0,20,10.3,0.37698,1.68302,1,1
26,2,6,24,13.6,1.576512,1.687488,1,1
32,14,0,36,2.4,0.273024,0.590976,0,0
30,0,11,17,3.7,0.44659,0.18241,0,1
39,13,1,38,8.9,1.897302,1.484698,0,0
31,11,6,28,4.8,0.345408,0.998592,0,1
34,15,2,39,24.7,1.6,5.259618,0,1
31,8,3,41,12.6,0.134316,5.031684,0,0
29,1,7,25,10.4,0.5694,2.0306,1,0
29,9,0,25,13.9,1.0703,2.4047,0,0
35,9,16,30,7.6,0.6498,1.6302,1,0
29,11,7,32,6,0.92736,0.99264,0,0
38,2,16,22,22.7,1.208548,3.785452,1,1
35,16,15,36,3.4,0.178704,1.045296,0,0
29,11,5,36,6.1,0.709308,1.486692,0,0
23,3,4,34,4.4,0.2618,1.2342,1,0
33,9,8,32,5.5,0.49632,1.26368,2,0
51,19,25,46.7,2.8,1.06848,3.38352,1,0
24,4,2,21,2.6,0.099372,0.446628,0,0
31,10,12,49,9.8,3.236548,1.565452,0,1
45,10,14,52,5.4,0.932256,1.875744,0,0
29,3,1,17,9,0.46971,1.06029,0,0
34,0,10,20,17.1,2.04858,1.37142,0,0
25,4,5,27,5,0.54945,0.80055,1,1
37,20,2,56,1.9,0.54264,0.52136,0,0
47,8.6,18,46.7,25.3,1.6,3.1,0,1
43,6,24,54,9.6,0.62208,4.56192,1,0
47,22,19,81,5.5,1.50579,2.94921,0,0
24,6,2,21,5.2,0.108108,0.983892,0,0
27,5,1,75,6.3,2.206575,2.518425,2,0
25,9,4,18,1.2,0.06588,0.15012,0,0
36,11,12,44,14.7,0.446292,6.021708,2,0
39,16,20,57,19.4,1.559178,3.1,0,0
26,10,1,25,7.1,1.3064,0.4686,0,0
41,4,19,25,10.1,1.0605,1.4645,0,0
39,19,15,60,10.2,1.6,6.6666,0,1
37,18,8,54,12.1,1.6,1.940598,0,0
29,2,0,14,14.4,0.586656,1.429344,0,1
42,6,9,31,11.6,1.02486,2.57114,0,0
31,1,6,29,11.1,1.065489,2.153511,2,0
36,4,15,17,17.3,0.520557,2.420443,0,0
39,16,4,52,20,4.16,6.24,0,0
23,0,2,23,6.7,0.468464,1.072536,2,0
39,4,15,33,7,0.39732,1.91268,0,0
27,4,1,40,3.1,0.28396,0.95604,2,1
24,8,4,24,5,0.3816,0.8184,0,0
27,3,4,45,11,0.29205,4.65795,2,1
41,16,22,49,1.6,0.4312,0.3528,0,0
38,0,8,23,8.1,0.897966,0.965034,0,1
40,5,12,35,16.4,1.58424,4.15576,1,1
54,25,12,46.7,26.5,1.6,3.1,0,1
40,12,6,89,17.4,2.771994,3.1,0,0
40,2,4,32,3.7,0.853664,0.330336,0,0
29,1,8,31,8,0.15624,2.32376,0,0
30,8,6,23,12,0.76176,1.99824,0,0
29,1,1,18,1.1,0.029898,0.168102,0,0
29,3,3,50,2.4,0.2592,0.9408,2,1
28,2,4,41,2.5,0.4592,0.5658,2,1
28,0,5,38,10.4,0.636272,3.315728,2,0
39,16,9,89,14.3,1.6,7.725289,1,0
32,11,2,53,3.3,0.089199,1.659801,0,0
36,7,16,43,15.4,2.6488,3.9732,1,0
39,20,12,39,8.2,0.773916,2.424084,0,0
28,6,8,47,19.8,1.6,3.731706,2,1
28,4,2,28,14.2,0.43736,3.53864,0,1
46,6,19,31,12.2,1.98555,1.79645,0,0
30,4,8,15,6.5,0.350025,0.624975,1,0
39,15,19,32,4.9,0.421792,1.146208,1,0
40,5,3,46.7,16,1.6,3.1,2,1
44,18,4,74,13.4,1.6,5.394304,1,0
30,0,8,19,16.6,0.624492,2.529508,0,1
24,3,0,19,4.3,0.358663,0.458337,1,0
32,10,13,32,11.3,1.167968,2.448032,0,0
29,3,8,15,2.6,0.14664,0.24336,1,0
40,2,1,36,3.8,0.277704,1.090296,1,0
41,8,21,43,0.7,0.085785,0.215215,1,0
22,1,3,17,18.6,0.80631,2.35569,0,0
38,10,8,34,1.2,0.036312,0.371688,0,0
37,6,13,62,8.5,1.18575,4.08425,1,0
41,18,6,71,15.7,1.6,4.581417,2,1
41,7,6,56,14.5,0.37352,7.74648,2,1
39,2,15,22,23.1,1.915914,3.166086,0,1
24,0,2,15,16.1,0.321195,2.093805,1,1
32,9,10,51,23,2.68617,3.1,2,0
21,0,1,26,7.7,1.529528,0.472472,2,0
29,13,7,27,2.3,0.068931,0.552069,0,0
35,14,3,82,0.8,0.468384,0.187616,1,0
29,6,7,21,18.1,1.109892,2.691108,0,0
41,2,22,30,6.7,0.11256,1.89744,1,0
37,0,18,18,12.9,1.583604,0.738396,0,1
32,3,13,47,1.9,0.42864,0.46436,1,0
36,5,12,20,8.1,0.729,0.891,2,0
39,18,9,44,2.1,0.367752,0.556248,1,0
36,18,9,67,11.2,1.6,2.258704,0,0
46,22,4,99,2.3,0.826551,1.450449,2,0
34,13,11,51,9.6,1.875168,3.020832,0,0
27,7,4,26,9.1,0.641186,1.724814,0,0
43,8,11,45,3.3,0.67716,0.80784,0,0
33,14,8,72,10.2,1.6,3.1,0,1
39,20,17,101,1.4,0.340774,1.073226,1,0
29,1,4,17,2.5,0.13175,0.29325,0,0
34,7,15,40,6.4,0.94976,1.61024,2,0
26,1,0,21,4.9,0.608139,0.420861,0,0
31,15,2,60,4.8,0.80352,2.07648,0,0
26,10,6,24,2.7,0.31104,0.33696,0,0
28,12,7,45,7.7,1.853775,1.611225,0,0
48,13,20,50,10.2,1.6,3.1,0,1
39,2,12,46,16,4.00384,3.35616,1,1
37,3,3,25,3.7,0.27565,0.64935,0,0
52,9,0,70,9.4,1.32916,5.25084,2,1
48,3,11,27,21.3,1.403244,4.347756,0,0
26,7,3,22,5.1,0.208692,0.913308,0,0
46,15,0,46.7,3.1,0.476532,3.429468,2,0
31,7,10,23,4.9,0.2254,0.9016,0,0
34,13,8,56,6.1,0.864248,2.551752,0,0
40,22,4,95,3.6,0.6327,2.7873,0,0
24,2,5,16,6.4,0.270336,0.753664,2,1
33,2,14,44,3.1,0.52514,0.83886,0,0
53,5,8.4,78,17.3,1.6,6.558084,2,1
47,9,1,52,20.1,2.539836,7.912164,2,1
35,5,5,32,13,0.17472,3.98528,0,0
34,14,8,28,17,1.13764,3.62236,0,0
49,11,5,39,10.1,2.457936,1.481064,0,0
26,0,7,28,9.3,1.270752,1.333248,1,0
23,2,2,16,9.6,0.804864,0.731136,0,1
23,0,4,21,8.7,0.454923,1.372077,1,0
38,4,13,56,1.6,0.441728,0.454272,1,0
28,5,2,37,8.3,1.123986,1.947014,1,0
30,0,8,65,10.2,3.89961,3.1,2,1
34,18,10,34,15.4,2.099636,3.136364,0,0
50,16,14,71,11.1,1.662891,6.218109,1,0
29,12,2,40,6.7,1.63212,1.04788,0,0
42,0,9,64,6.6,0.278784,3.945216,2,0
31,13,12,27,5,0.2376,1.1124,0,0
39,10,4,31,4.8,0.184512,1.303488,0,0
45,21,8.4,46.7,3,2.55816,1.40184,1,0
45,22,24,91,11.7,1.256346,3.1,0,0
36,14,17,53,5.7,1.888125,1.132875,0,0
25,0,6,24,12.1,1.5972,1.3068,2,1
29,1,7,29,21.2,2.330092,3.817908,1,1
30,8,4,56,6.4,0.333312,3.250688,1,0
31,1,1,24,4.5,0.21708,0.86292,0,0
43,4,2,29,4.6,0.05336,1.28064,0,0
32,11,4,57,23.8,1.6,8.126034,1,1
47,19,7,50,10.2,3.17555,3.1,0,0
46,1,15,21,14.8,1.376844,1.731156,0,1
43,16,10,83,4.1,0.258628,3.144372,1,0
48,3,7,24,7,0.7644,0.9156,0,0
30,8,7,61,2.8,0.549976,1.158024,2,0
23,0,4,32,18.4,0.818432,5.069568,2,1
36,8,0,32,1.6,0.024576,0.487424,2,0
20,0,1,17,2.3,0.043792,0.347208,2,0
43,16,7,89,0.4,0.159488,0.196512,0,0
23,2,1,25,4.5,0.12375,1.00125,0,1
41,21,2,76,20.5,1.6,3.1,0,0
34,12,5,68,25.1,1.6,3.1,0,1
50,11,5,36,4.8,0.834624,0.893376,0,0
40,9,4,64,6.6,0.789888,3.434112,0,0
29,0,8,22,12.9,1.038708,1.799292,1,1
39,9,16,56,18.7,1.6,5.70724,1,0
24,1,2,42,5.7,0.8379,1.5561,1,0
27,0,5,16,1.1,0.130416,0.045584,0,0
40,18,14,46.7,6.6,3.326202,7.035798,2,0
32,8,2,45,3.7,0.98235,0.68265,1,0
39,16,12,53,3.7,0.694194,1.266806,1,0
40,22,1,100,14.6,1.6,3.1,0,0
32,10,11,42,9.1,1.540266,2.281734,0,0
39,23,1,75,18.9,3.132675,3.1,0,0
24,3,3,21,10.2,2.682498,3.386502,0,1
43,18,14,46.7,6.5,1.6,3.1,2,1
56,11,20,59,15,1.6,4.1772,0,0
32,5,9,23,4.5,0.326025,0.708975,2,0
42,7,12,25,10.2,1.62945,0.92055,0,0
46,3,13,43,13.2,3.042336,2.633664,2,1
31,2,2,22,16.4,1.739056,1.868944,0,1
43,25,16,46.7,2.6,1.63592,4.65608,0,0
28,6,9,22,11.5,0.65021,1.87979,1,0
39,11,17,39,12.9,2.560779,2.470221,2,0
39,0,8,39,7.9,1.066026,2.014974,0,0
37,1,14,33,16.1,2.693691,2.619309,2,1
30,0,11,17,12,0.30396,1.73604,0,0
37,9,16,46.7,5.9,0.887655,3.1,2,0
22,4,3,14,17.5,0.2254,2.2246,0,0
50,1,8.4,26,14.3,1.851564,1.866436,0,0
30,10,2,19,4.4,0.336072,0.499928,0,0
39,8,0,21,4,0.27636,0.56364,0,0
21,0,2,21,12.5,0.48825,2.13675,1,1
31,9,2,28,2.6,0.121576,0.606424,2,0
31,9,1,30,5.8,0.60204,1.13796,1,0
48,0,23,30,22.3,2.66262,4.02738,0,0
28,4,1,16,23.8,1.08528,2.72272,0,0
47,16,8.4,46.7,17.6,1.6,3.1,2,1
27,6,1,34,4.4,0.237864,1.258136,1,0
29,6,10,65,18.4,1.98536,3.1,1,0
21,2,0,20,4.5,0.2907,0.6093,1,1
29,7,5,20,19.8,1.00584,2.95416,0,1
24,0,3,29,6.6,0.589512,1.324488,2,1
44,12,3,31,9.7,0.357833,2.649167,0,0
22,1,0,18,4.4,0.270072,0.521928,0,0
38,13,0,59,2.4,0.407808,1.008192,1,0
52,12,16,76,7.7,0.99484,4.85716,1,0
25,3,2,18,16.3,0.35208,2.58192,0,1
25,5,5,22,10.9,0.402864,1.995136,0,0
51,27,21,46.7,11.5,0.82087,3.1,1,0
38,21,16,58,16.5,1.6,4.98597,0,0
44,9,20,33,5.2,0.545688,1.170312,0,0
24,2,3,26,9.7,0.887744,1.634256,1,1
34,5,3,33,7.3,0.778107,1.630893,0,0
25,6,2,26,4.5,0.0702,1.0998,1,0
45,5,17,94,10.5,3.61242,6.25758,2,1
34,4,10,25,5.8,0.56985,0.88015,1,0
27,2,8,23,5.7,0.319884,0.991116,2,1
33,10,13,57,20.9,1.6,5.801631,1,1
35,0,16,22,15,1.9701,1.3299,1,1
50,15,8.4,60,1.1,0.46794,0.19206,1,0
33,13,13,42,3.6,0.228312,1.283688,0,0
41,13,13,91,25.2,2.316132,3.1,2,1
28,0,2,28,10.2,2.28438,7.03962,0,1
38,12,14,63,16,1.6,4.36464,2,1
25,3,2,16,17.8,1.01104,1.83696,0,1
47,4,9,33,7.1,1.19493,1.14807,1,1
30,12,9,98,7.2,2.935296,4.120704,1,0
44,12,5,86,13,1.47576,3.1,1,0
25,0,2,18,18.9,0.513702,2.888298,0,1
41,6,0,36,19.5,1.6,2.50614,1,1
22,0,1,18,7.7,0.47817,0.90783,2,0
35,3,11,40,17.2,1.80256,5.07744,1,1
42,6,23,46.7,7.8,3.15666,3.1,2,0
38,3,19,23,14.7,0.831726,2.549274,0,0
23,1,3,18,18.7,0.885258,2.480742,1,1
28,2,5,30,19.9,1.52235,4.44765,2,0
52,19,25,89,4.7,0.397385,3.785615,0,0
25,9,2,20,3.5,0.105,0.595,0,0
28,1,4,16,14.7,0.573888,1.778112,1,0
43,19,11,79,7.5,0.7821,5.1429,0,0
24,3,1,24,19.1,2.172816,2.411184,1,0
34,13,7,52,9.2,1.497392,3.286608,2,0
29,6,9,25,4.2,0.58485,0.46515,1,0
31,6,9,21,8.3,0.728574,1.014426,0,0
42,14,1,48,8.6,1.201248,2.926752,1,1
49,11,1,51,15,0.54315,7.10685,1,0
39,22,9,73,14.3,3.726723,6.712277,0,0
45,0,19,22,4.2,0.030492,0.893508,2,0
41,7,22,32,2.9,0.072384,0.855616,0,0
29,9,0,46,1.6,0.241408,0.494592,1,0
35,7,5,38,15.1,1.382858,4.355142,2,0
27,5,6,25,6.8,0.7055,0.9945,1,0
28,4,7,19,4.1,0.286672,0.492328,0,0
48,17,22,66,3.2,1.46784,0.64416,0,0
24,2,5,18,6,0.52812,0.55188,0,0
31,6,12,33,4.2,0.14553,1.24047,0,0
43,10,9,69,6.4,0.410688,4.005312,0,0
42,3,10,24,10.6,0.666528,1.877472,0,0
51,8.6,14,46.7,7.8,1.6,3.1,1,0
22,4,3,19,23.1,1.88727,2.50173,0,1
37,6,10,31,11.7,1.701063,1.925937,0,1
22,1,3,25,13.8,1.97685,1.47315,2,1
49,2,13,20,16.9,0.37856,3.00144,1,1
29,9,8,30,8.2,0.15498,2.30502,0,0
42,2,16,30,9.7,1.47246,1.43754,0,0
34,15,0,67,13.2,3.741012,5.102988,0,0
34,9,7,27,1.7,0.295137,0.163863,1,0
32,5,5,43,15,1.806,4.644,1,1
42,18,23,66,9.6,1.641024,4.694976,1,0
24,3,0,14,16.1,0.838488,1.415512,0,1
34,16,9,48,7.6,1.473792,2.174208,0,0
